,urutan,error
0,0,0.040138892929966766
1,1,0.02008501512683799
2,2,0.016914866980205782
3,3,0.01526404989804912
4,4,0.014655955346798413
5,5,0.014502756928982381
6,6,0.014571018354258034
7,7,0.014546071926600661
8,8,0.0145801402244191
9,9,0.014430080104121279
10,10,0.014494783450978236
11,11,0.014484023525904756
12,12,0.01437071294672357
13,13,0.014278367027686993
14,14,0.014313441303534211
15,15,0.014167075504049075
16,16,0.014127292082385359
17,17,0.014036376368325781
18,18,0.014020541586654384
19,19,0.013982044864955991
20,20,0.013907268984188552
21,21,0.013831997621206446
22,22,0.01381854609910231
23,23,0.013752499324446874
24,24,0.013661346265076637
25,25,0.013626590446378319
26,26,0.01353972011695306
27,27,0.013506085494946782
28,28,0.013423456737947943
29,29,0.01336690726122044
30,30,0.0133114858086567
31,31,0.013360383651883558
32,32,0.013306074361517161
33,33,0.01325259309959107
34,34,0.013171702984414769
35,35,0.013113422919139679
36,36,0.01309781749070735
37,37,0.013046969408639754
38,38,0.012991045381892781
39,39,0.012948117239438138
40,40,0.012892619469265955
41,41,0.012932200938856402
42,42,0.012795893947756402
43,43,0.012835232137407816
44,44,0.012700788400138045
45,45,0.012739118815698523
46,46,0.012606865649547992
47,47,0.012560056928581625
48,48,0.012563837588864374
49,49,0.012550731829591344
50,50,0.012420871962077595
51,51,0.012374799718161456
52,52,0.01232883904011069
53,53,0.01228294701017132
54,54,0.012237081675926355
55,55,0.012191201926262106
56,56,0.0121452673780019
57,57,0.012068165901670647
58,58,0.012054079588536208
59,59,0.011951670491926256
60,60,0.011962840986593552
61,61,0.011861608694790162
62,62,0.011816355367316653
63,63,0.011771156455183108
64,64,0.011725977004515503
65,65,0.011680782841698234
66,66,0.011635540505753487
67,67,0.011590217187661784
68,68,0.011544780676241442
69,69,0.011499199310254013
70,70,0.011427021649136546
71,71,0.011377059908471978
72,72,0.011362474155589745
73,73,0.011290299239867413
74,74,0.011179597939516308
75,75,0.01119909406830221
76,76,0.011088340464515392
77,77,0.011047984264317247
78,78,0.010972077574437085
79,79,0.010950862502403876
80,80,0.01091056763191832
81,81,0.010826762483540111
82,82,0.010761591512778002
83,83,0.010721323756817362
84,84,0.010639109320154782
85,85,0.010593164557943104
86,86,0.010547097956814721
87,87,0.010500885715041259
88,88,0.010454504573257657
89,89,0.010407931796691331
90,90,0.010361145160116578
91,91,0.010297179902264869
92,92,0.010267501651082428
93,93,0.010203381440415027
94,94,0.010173233438217837
95,95,0.01010925950629181
96,96,0.010061637988517754
97,97,0.010013998965275859
98,98,0.009983455196100577
99,99,0.009856945757051344
